공고명 (title),주관기관 (agency),기관구분 (agencyType),공고유형 (category),접수시작 KST (applyStartAt),접수마감 KST (applyEndAt),접수중 (isActive),지원대상 (applicantTypes),대상지역 (targetRegions),대상업종 (targetIndustries),업력하한 (minBusinessYears),업력상한 (maxBusinessYears),종업원수상한 (maxEmployees),연매출상한 (maxRevenue),지원금하한 (amountMin),지원금상한 (amountMax),요구인증 (requiredCertifications),대표자연령하한 (minAge),대표자연령상한 (maxAge),법인한정 (corporationOnly),반복여부 (recurrence),요약 (summary),지원자격 원문 (applyTargetDetail),제외대상 원문 (excludeTarget),공고원문 URL (sourceUrl),수집출처 (sourceApi),원본 공고번호 (externalId),적재일시 KST (createdAt),갱신일시 KST (updatedAt),내부 식별자 (id),원문 지역 (raw.rawRegion),원문 공고유형 (raw.rawCategory),원문 지원대상 (raw.rawApplyTarget),원문 업력 (raw.rawBusinessYears),원문 대상연령 (raw.targetAge),원문 담당부서 (raw.department),원문 연락처 (raw.contact),원문 우대사항 (raw.preferential),통합공고 여부 (raw.integratedNotice)
2026년도 조달청 벤처나라 입점 기관추천(9월~12월) 참가기업 모집공고,창업진흥원장,공공기관(public),수출·해외진출(export),2026-07-15 00:00,2026-08-20 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,7,,,,,,,,,단발(once),창업기업의 공공조달시장 진출 및 판로확대 지원을 위해 「2026년도 조달청 벤처나라 입점 기관추천(9월~12월)」참가기업을 다음과 같이 모집합니다.,,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178163,kstartup,178163,2026-08-20 18:24,2026-08-20 18:24,a11f87ff-a89f-46d9-a45c-fad8c5adeef3,전국,판로ㆍ해외진출,"대학생,일반인,대학,연구기관,일반기업,1인 창조기업",7년미만,"만 20세 이상 ~ 만 39세 이하,만 40세 이상",사업관리실,0444101981,,N
「다시 쓰는 성공기」 제14회 재도전 사례 공모전 참가 모집 공고,중소벤처기업부 장관,공공기관(public),경진대회·행사(contest),2026-07-21 00:00,2026-08-20 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"『다시 쓰는 성공기』제14회 재도전 사례 공모전을 다음과 같이 공고하오니, 많은 관심과 적극적인 참여 바랍니다.",,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178426,kstartup,178426,2026-08-20 18:24,2026-08-20 18:24,f0fdc60a-ffd6-4573-8a5c-d4d1885ab533,전국,행사ㆍ네트워크,"청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업","예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",예비재도전실,0444101983,,N
제 2회 판다밋업 :  AI 반도체 글로벌 파트너십  Innovation Bridge,경기도 4차산업혁명센터,공공기관(public),경진대회·행사(contest),2026-08-04 00:00,2026-08-20 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"경기도 4차산업혁명센터는 국내 기업의 글로벌 공동 연구개발 사례와 이스라엘의 AI·반도체 산업 현황을 공유하고, 
한·이스라엘 공동 연구개발 지원사업을 소개하는 「제2회 판(교에서)다(보스를 만나다) 밋업」을 개최합니다. 
본 행사는 AI·반도체 분야 기업의 글로벌 기술협력 기회를 확대하고 실질적인 공동연구 연계 가능성을 모색하기 위해 마련되었습니다.
많은 참여부탁드립니다.",,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178791,kstartup,178791,2026-08-20 18:24,2026-08-20 18:24,e6b977d7-ca07-4837-afb1-71ef76bb966c,전국,행사ㆍ네트워크,"청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업","예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",4차산업혁명센터 혁신커뮤니티팀 ,0317764512,,N
2026년 28청춘창업소 액셀러레이팅 창업 역량강화교육,고양산업진흥원,공공기관(public),입주공간(space),2026-08-05 00:00,2026-08-20 23:59,Y,예비창업자(preliminary),경기,,,3,,,,,,,,,단발(once),"고양특례시가 조성하고 고양산업진흥원이 운영하는 28청춘창업소에서는 예비창업자 및 초기창업자의 성공적인 사업화와 창업 역량 강화를 지원하기 위해 「2026년 28청춘창업소 액셀러레이팅 창업 역량강화교육」 2차 교육생을 모집합니다.

창업을 준비 중이거나 사업 아이템을 구체화하고자 하는 예비·초기창업자 여러분의 많은 관심과 참여를 바랍니다.",,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178804,kstartup,178804,2026-08-20 18:24,2026-08-20 18:24,4ecad6d5-3778-4409-b92f-313b69eded32,경기,시설ㆍ공간ㆍ보육,"청소년,대학생,일반인","예비창업자,1년미만,2년미만,3년미만",만 20세 이상 ~ 만 39세 이하,28청춘창업소,0319687062,,Y
[대전관광공사] 2026 대전·세종 관광 창업 역량강화교육 및 창업경진대회 참가자 모집,대전관광공사,공공기관(public),교육·멘토링(education),2026-08-06 00:00,2026-08-20 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),대전,,,5,,,,,,,,,단발(once),"대전관광공사는 「2026 대전세종관광창업육성지원사업」의 일환으로

지역 관광 창업 인재와 경쟁력있는 관광 창업 모델 발굴 및 지원을 위하여
맞춤형 교육과 창업경진대회를 운영하고자합니다.

해당 과정의 교육생을 모집하오니, 관심 있는 창업자 여려분들의 많은 참여를 바랍니다.",,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178823,kstartup,178823,2026-08-20 18:24,2026-08-20 18:24,8e81828d-349f-4f70-bf68-478c300ba9d2,대전,멘토링ㆍ컨설팅ㆍ교육,"대학생,일반인,일반기업,1인 창조기업","예비창업자,1년미만,2년미만,3년미만,5년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",대전세종관광기업지원센터,0422501467,,N
2026 예술기업 상생혁신(오픈이노베이션) 지원사업 참여기업 공모,(재)예술경영지원센터,공공기관(public),사업화자금(funding),2026-08-06 00:00,2026-08-20 23:59,Y,개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"대·중견기업과의 개방형 혁신(오픈이노베이션)을 통해 예술기업의 창의적인 아이디어를 사업화 검증(PoC)하고, 이를 바탕으로 지속 가능한 사업모델 개발과 성장을 희망하는 예술기업을 모집합니다.",,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178857,kstartup,178857,2026-08-20 18:24,2026-08-20 18:24,2491a6ff-aa21-4edf-855e-1c18b44e373c,전국,사업화,"연구기관,일반기업,1인 창조기업",10년미만,"만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",기업육성팀,027082237,,N
2026년 제2회 사회서비스 투자 교류회 행사 및 참석자 모집 안내,(주)엠와이소셜컴퍼니,민간(private),경진대회·행사(contest),2026-08-13 00:00,2026-08-20 23:59,Y,예비창업자(preliminary) | 개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"「2026년 제2회 사회서비스 투자 교류회」 가 2026년 9월 4일(금) 김대중컨벤션센터에서 개최됩니다.

보건복지부와 중앙사회서비스원, 광주광역시사회서비스원 그리고 엠와이소셜컴퍼니가 함께하는 사회서비스 투자 교류회는 사회서비스 기업의 투자 유치 기회를 확대하고, 유관기관과의 교류를 통해 협업·실증을 논의하는 연결의 장입니다.

누적 14회를 맞이한 올해의 두 번째 교류회는 '일상 속 돌봄을 채우는 사회서비스'를 주제로 진행됩니다.

해당 주제와 관련하여 우수한 돌봄 기술과 성장 가능성을 가진 사회서비스 기업을 모집하오니,
많은 관심과 참여 부탁드리며 자세한 내용은 첨부된 안내문 및 웹포스터를 참고해주시기 바랍니다.

감사합니다.


※ 참여 기업 신청 바로가기: https://ema.kr/378",,,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178908,kstartup,178908,2026-08-20 18:24,2026-08-20 18:24,98c5939c-d0f9-4153-8c17-3702f4e00e74,전국,행사ㆍ네트워크,"청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업","1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",CIC1,024995111,,N
국민대학교 청년도약 인재양성 부트캠프 참가자 모집,국민대학교 글로벌창업벤처대학원,공공기관(public),교육·멘토링(education),2026-07-09 00:00,2026-08-21 23:59,Y,예비창업자(preliminary),서울,,,1,,,,,,20,39,,단발(once),"국민대학교 글로벌창업벤처대학원 창업학과(참여: 경영대학 AI빅데이터융합경영학과)는 「청년도약 인재양성 부트캠프(실전인재형)」 교육생을 아래와 같이 모집합니다. 본 부트캠프는 일자리 밖 청년을 스타트업·벤처 생태계의 AX(AI 전환) 실무 인재로 양성하는 전액 무료 교육 프로그램입니다.

직무분야: 스타트업·벤처 생태계 실무 기획 및 운영(AX 기반)
참여기업: ㈜메인콘텐츠, ㈜인포뱅크, ㈜씨엔티테크, ㈜와이앤아처, 한국엔젤투자협회 등 1,285개사","전공·지역 무관, 만 34세 이하 미취업 청년

□  취업준비생
□  예비창업자
□  장기 휴학생(1년 이상) 및 졸업 유예자

이런 분께 추천합니다
□ 재도전형: 창업 실패 경험을 커리어 자산으로 전환하고 싶은 청년
□ 직무전환형: 문과·비전공 출신으로 IT 진입 장벽을 넘고 싶은 청년
□ 스펙-실무 미스매치형: 스펙은 있지만 실무 경험이 부족한 청년",,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178493,kstartup,178493,2026-08-20 18:24,2026-08-21 20:53,5fb570f4-ea2a-4618-a605-2e357fea7573,서울,창업교육,"대학생,일반인","예비창업자,1년미만",만 20세 이상 ~ 만 39세 이하,청년도약 인재양성 부트캠프,029105948,,N
2026년 벤처확인 도전기업 일대일 비대면 밋업 참여기업 모집,(주)엠비즈플래닛 산하 혁신기술경영인증지원센터,민간(private),사업화자금(funding),2026-07-16 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"벤처기업확인 인증은 자금조달, 정부지원사업 가점, 세제 감면 등 기업 성장의 든든한 발판이 되는 핵심 인증제도 입니다. 혁신기술경영인증지원센터에서는 벤처기업확인(최초·재인증)을 준비하는 기업의 성공적인 인증 준비를 지원하기 위하여 『2026년 벤처확인 가능성 1:1 비대면 밋업』 참여기업을 다음과 같이 모집하오니 많은 관심과 참여 바랍니다.","① 벤처기업확인 최초 인증을 준비하는 기업
② 벤처기업 재인증을 준비하는 기업
③ 벤처확인 준비 방향이 필요한 기업
④ 기술성 및 사업성 진단을 희망하는 기업
⑤ 벤처인증 준비 상태 점검 및 전문가 자문이 필요한 기업","- 벤처기업에 포함되지 않는 업종 ( 일반 유흥 주점업, 무도 유흥 주점업, 기타 주점업, 블록체인 기반 암호화 자산 매매 및 중개업, 기타 사행시설 관리 운영업, 무도장 운영업)
- 신청일 기준 회사 설립이 완료되지 않은 기업 (예비창업자)
- 국제 또는 지방세 체납으로 규제 중인 자
- 공고 마감일 기준 휴업 중인 기업, 금융기관 등으로부터 채무불이행으로 규제 중인 자 또는 기업",https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178556,kstartup,178556,2026-08-20 18:24,2026-08-21 20:53,fb808c95-fe34-40b9-b861-bffcb39fe5df,전국,사업화,"일반기업,1인 창조기업","1년미만,2년미만,3년미만,5년미만,7년미만,10년미만","만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",혁신기술경영인증지원센터,0314225585,,N
삼성 EPC 3사 2026 ConTech 공모전 모집 공고,"삼성E&A, 삼성물산 건설부문, 삼성중공업",민간(private),사업화자금(funding),2026-07-20 00:00,2026-08-21 23:59,Y,개인사업자(individual) | 법인(corporate),,,,10,,,,,,,,,단발(once),"삼성 EPC 3사(삼성E&A, 삼성물산 건설부문, 삼성중공업)에서는
설계·조달·시공 분야의 혁신 기술 발굴을 위한 '2026 콘테크(ConTech) 공모전'을 개최하오니 많은 응모 바랍니다.

공모분야는 ① 건축/토목 ② 플랜트 ③ 조선/해양과 관계된 Data Technology, AI, 스마트 제조/시공, 친환경 요소 기술입니다.","국내 중소∙중견 기업, 스타트업, 대학교/대학원 및 산학협력단",삼성 EPC 3사와 논의 중인 과제/기술은 공모전 응모 대상에서 제외,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=178593,kstartup,178593,2026-08-20 18:24,2026-08-21 20:53,05186b78-feda-4a1f-ac04-4e712936e1ad,전국,사업화,"대학,연구기관,일반기업,1인 창조기업",10년미만,"만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상",E&I Technology Team,0220532589,,N
