구분,항목,건수,비율
전체,수집 공고 총계,29834,100.0%
전체,접수 진행 중,278,0.9%
전체,접수 마감·종료,29556,99.1%
수집 출처,kstartup,29834,100.0%
공고 유형,교육·멘토링(education),8211,27.5%
공고 유형,입주공간(space),7362,24.7%
공고 유형,사업화자금(funding),7166,24.0%
공고 유형,경진대회·행사(contest),4293,14.4%
공고 유형,수출·해외진출(export),2076,7.0%
공고 유형,기술개발(R&D)(rnd),334,1.1%
공고 유형,융자(loan),310,1.0%
공고 유형,인력·고용(employment),82,0.3%
기관 구분,공공기관(public),15550,52.1%
기관 구분,민간(private),9139,30.6%
기관 구분,지자체(local),5145,17.2%
필드 채움률,공고명 (title),29834,100.0%
필드 채움률,주관기관 (agency),29834,100.0%
필드 채움률,기관구분 (agencyType),29834,100.0%
필드 채움률,공고유형 (category),29834,100.0%
필드 채움률,접수시작 KST (applyStartAt),29735,99.7%
필드 채움률,접수마감 KST (applyEndAt),29735,99.7%
필드 채움률,접수중 (isActive),29834,100.0%
필드 채움률,지원대상 (applicantTypes),29821,100.0%
필드 채움률,대상지역 (targetRegions),13539,45.4%
필드 채움률,대상업종 (targetIndustries),0,0.0%
필드 채움률,업력하한 (minBusinessYears),0,0.0%
필드 채움률,업력상한 (maxBusinessYears),29810,99.9%
필드 채움률,종업원수상한 (maxEmployees),0,0.0%
필드 채움률,연매출상한 (maxRevenue),0,0.0%
필드 채움률,지원금하한 (amountMin),0,0.0%
필드 채움률,지원금상한 (amountMax),0,0.0%
필드 채움률,요구인증 (requiredCertifications),0,0.0%
필드 채움률,대표자연령하한 (minAge),74,0.2%
필드 채움률,대표자연령상한 (maxAge),15,0.1%
필드 채움률,법인한정 (corporationOnly),0,0.0%
필드 채움률,반복여부 (recurrence),29834,100.0%
필드 채움률,요약 (summary),22316,74.8%
필드 채움률,지원자격 원문 (applyTargetDetail),271,0.9%
필드 채움률,제외대상 원문 (excludeTarget),121,0.4%
필드 채움률,공고원문 URL (sourceUrl),29834,100.0%
필드 채움률,수집출처 (sourceApi),29834,100.0%
필드 채움률,원본 공고번호 (externalId),29834,100.0%
필드 채움률,적재일시 KST (createdAt),29834,100.0%
필드 채움률,갱신일시 KST (updatedAt),29834,100.0%
필드 채움률,내부 식별자 (id),29834,100.0%
필드 채움률,원문 지역 (raw.rawRegion),29834,100.0%
필드 채움률,원문 공고유형 (raw.rawCategory),29834,100.0%
필드 채움률,원문 지원대상 (raw.rawApplyTarget),29827,100.0%
필드 채움률,원문 업력 (raw.rawBusinessYears),29810,99.9%
필드 채움률,원문 대상연령 (raw.targetAge),29823,100.0%
필드 채움률,원문 담당부서 (raw.department),29391,98.5%
필드 채움률,원문 연락처 (raw.contact),28875,96.8%
필드 채움률,원문 우대사항 (raw.preferential),4633,15.5%
필드 채움률,통합공고 여부 (raw.integratedNotice),29834,100.0%
